,task_name,run_name,rmt,eval_token_accuracy,eval_token_accuracy,eval_token_accuracy,eval_exact_match,eval_exact_match,eval_exact_match,run_path,lr,mem_size,modification
,,,first,mean,std,list,mean,std,list,first,,,
119,N8-K2V2-V62_1M,original_rmt-vl_llama_L4H4D128-out_layer_-4_mem8_lr5e-05_bs_64_lr_5e-05,True,0.1891,0.02418305191657993,"[0.2062, 0.172]",0.037,0.00311126983722081,"[0.0392, 0.0348]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt-vl_llama_L4H4D128-out_layer_-4_mem8_lr5e-05_bs_64_lr_5e-05/run_1,5e-05,8,-
153,N8-K2V2-V62_1M,original_rmt_llama_L4H4D128_mem8_lr5e-05_bs_64_lr_5e-05,True,0.1743,0.0052325901807804545,"[0.178, 0.1706]",0.0356,0.0002828427124746173,"[0.0358, 0.0354]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt_llama_L4H4D128_mem8_lr5e-05_bs_64_lr_5e-05/run_1,5e-05,8,-
145,N8-K2V2-V62_1M,original_rmt_llama_L4H4D128_mem8_lr1e-05_bs_64_lr_1e-05,True,0.1751,0.0002828427124746271,"[0.1753, 0.1749]",0.035,0.0014142135623730937,"[0.036, 0.034]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt_llama_L4H4D128_mem8_lr1e-05_bs_64_lr_1e-05/run_1,1e-05,8,-
121,N8-K2V2-V62_1M,original_rmt_llama_L2H4D128_mem8_lr1e-04_bs_64_lr_1e-04,True,0.17335,0.0010606601717798223,"[0.1726, 0.1741]",0.0325,0.0015556349186104026,"[0.0314, 0.0336]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt_llama_L2H4D128_mem8_lr1e-04_bs_64_lr_1e-04/run_1,1e-04,8,-
113,N8-K2V2-V62_1M,original_rmt-vl_llama_L4H4D128-out_layer_-2_mem8_lr5e-05_bs_64_lr_5e-05,True,0.17125,0.00445477272147524,"[0.1681, 0.1744]",0.0319,0.0015556349186104075,"[0.0308, 0.033]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt-vl_llama_L4H4D128-out_layer_-2_mem8_lr5e-05_bs_64_lr_5e-05/run_1,5e-05,8,-
157,N8-K2V2-V62_1M,original_rmt_llama_L4H4D64_mem8_lr1e-04_bs_64_lr_1e-04,True,0.1698,0.0002828427124746271,"[0.1696, 0.17]",0.0303,0.00042426406871192964,"[0.0306, 0.03]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt_llama_L4H4D64_mem8_lr1e-04_bs_64_lr_1e-04/run_1,1e-04,8,-
109,N8-K2V2-V62_1M,original_rmt-vl_llama_L4H4D128-out_layer_-1_mem8_lr3e-04_bs_64_lr_3e-04,True,0.16604999999999998,0.001626345596729047,"[0.1672, 0.1649]",0.0293,0.0009899494936611655,"[0.03, 0.0286]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt-vl_llama_L4H4D128-out_layer_-1_mem8_lr3e-04_bs_64_lr_3e-04/run_1,3e-04,8,-
149,N8-K2V2-V62_1M,original_rmt_llama_L4H4D128_mem8_lr3e-04_bs_64_lr_3e-04,True,0.1665,0.004242640687119289,"[0.1695, 0.1635]",0.028999999999999998,0.0025455844122715715,"[0.0308, 0.0272]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt_llama_L4H4D128_mem8_lr3e-04_bs_64_lr_3e-04/run_1,3e-04,8,-
146,N8-K2V2-V62_1M,original_rmt_llama_L4H4D128_mem8_lr2e-04_bs_64_lr_2e-04,True,0.16799999999999998,0.0012727922061357927,"[0.1671, 0.1689]",0.0288,0.0042426406871192875,"[0.0258, 0.0318]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt_llama_L4H4D128_mem8_lr2e-04_bs_64_lr_2e-04/run_1,2e-04,8,-
126,N8-K2V2-V62_1M,original_rmt_llama_L4H4D128_mem1_lr1e-04_bs_64_lr_1e-04,True,0.16615000000000002,0.00021213203435597035,"[0.1663, 0.166]",0.026500000000000003,0.003535533905932737,"[0.024, 0.029]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt_llama_L4H4D128_mem1_lr1e-04_bs_64_lr_1e-04/run_1,1e-04,1,-
112,N8-K2V2-V62_1M,original_rmt-vl_llama_L4H4D128-out_layer_-2_mem8_lr3e-04_bs_64_lr_3e-04,True,0.1644,0.00042426406871195045,"[0.1641, 0.1647]",0.0263,0.0018384776310850222,"[0.025, 0.0276]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt-vl_llama_L4H4D128-out_layer_-2_mem8_lr3e-04_bs_64_lr_3e-04/run_1,3e-04,8,-
79,N8-K1V1-V62_1M,original_rmt_llama_L4H4D128_mem8_lr1e-04_bs_64_lr_1e-04,True,0.5056,0.4780041840821061,"[0.1676, 0.8436]",0.5056,0.4780041840821061,"[0.1676, 0.8436]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K1V1-V62_1M/original_rmt_llama_L4H4D128_mem8_lr1e-04_bs_64_lr_1e-04/run_1,1e-04,8,-
77,N8-K1V1-V62_1M,original_rmt_llama_L4H2D128_mem8_lr1e-04_bs_64_lr_1e-04,True,0.1728,0.004808326112068513,"[0.1694, 0.1762]",0.1728,0.004808326112068513,"[0.1694, 0.1762]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K1V1-V62_1M/original_rmt_llama_L4H2D128_mem8_lr1e-04_bs_64_lr_1e-04/run_1,1e-04,8,-
78,N8-K1V1-V62_1M,original_rmt_llama_L4H4D128_mem8_lr1e-04_bs_256_lr_1e-04,True,0.1708,0.0002828427124746271,"[0.1706, 0.171]",0.1708,0.0002828427124746271,"[0.1706, 0.171]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K1V1-V62_1M/original_rmt_llama_L4H4D128_mem8_lr1e-04_bs_256_lr_1e-04/run_1,1e-04,8,-
76,N8-K1V1-V62_1M,original_rmt_llama_L4H2D128_mem8_lr1e-04_bs_256_lr_1e-04,True,0.1696,0.0011313708498984691,"[0.1688, 0.1704]",0.1696,0.0011313708498984691,"[0.1688, 0.1704]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K1V1-V62_1M/original_rmt_llama_L4H2D128_mem8_lr1e-04_bs_256_lr_1e-04/run_1,1e-04,8,-
