task_name,folder_tag,base_model,n_layer,n_head,n_embd,state_size,conv_type,num_memory_vectors,read_mode,write_config,pairs_per_segment,learning_rate,avg_em,std_em,all_ems,n_runs
N16-K2V2-V62_1M,rmmv5p2,llama,4,4,128,32.0,ck4,1,unpool,pool,16,0.0003,0.89,0.05,"(0.94, 0.84)",2
N16-K2V2-V62_1M,rmmv5p2,llama,4,4,128,32.0,ck4,4,unpool,pool,16,0.0001,1.52,0.0,"(1.52,)",1
N16-K2V2-V62_1M,rmmv5p2,llama,4,4,128,32.0,ck4,4,unpool,pool,16,0.0003,1.32,0.0,"(1.32,)",1
N16-K2V2-V62_1M,rmmv5p4,llama,4,1,128,32.0,ck4,1,unpool,pool,1,0.0003,0.2,0.16,"(0.04, 0.36)",2
N16-K2V2-V62_1M,rmmv5p4,llama,4,1,128,32.0,ck4,2,unpool,pool,1,0.0003,0.12,0.0,"(0.12, 0.12)",2
N16-K2V2-V62_1M,rmmv5p4,llama,4,1,128,32.0,ck4,4,identity,identity,16,0.0001,52.75,45.87,"(6.88, 98.62)",2
N16-K2V2-V62_1M,rmmv5p4,llama,4,1,128,32.0,ck4,4,identity,identity,16,0.0003,98.79,0.35,"(99.14, 98.44)",2
N16-K2V2-V62_1M,rmmv5p4,llama,4,1,128,32.0,ck4,8,unpool,pool,1,0.0001,37.26,15.78,"(21.48, 53.04)",2
N16-K2V2-V62_1M,rmmv5p4,llama,4,1,128,32.0,ck4,8,unpool,pool,2,0.0001,26.18,23.68,"(2.5, 49.86)",2
N16-K2V2-V62_1M,rmmv5p4,llama,4,1,128,32.0,ck4,8,unpool,pool,4,0.0001,2.59,1.97,"(4.56, 0.62)",2
N16-K2V2-V62_1M,rmmv5p4,llama,4,1,128,32.0,ck4,32,unpool,pool,1,0.0001,6.43,0.37,"(6.06, 6.8)",2
N16-K2V2-V62_1M,rmmv5p4,llama,4,1,128,32.0,ck4,32,unpool,pool,2,0.0001,4.24,1.02,"(3.22, 5.26)",2
N16-K2V2-V62_1M,rmmv5p4,llama,4,1,128,32.0,ck4,32,unpool,pool,4,0.0001,2.73,2.09,"(4.82, 0.64)",2
N16-K2V2-V62_1M,rmmv5p4,llama,4,4,128,32.0,ck4,4,identity,identity,16,5e-05,74.0,5.64,"(68.36, 79.64)",2
N16-K2V2-V62_1M,rmmv5p4,llama,4,4,128,32.0,ck4,4,identity,identity,16,0.0001,68.33,12.67,"(81.0, 55.66)",2
N16-K2V2-V62_1M,rmmv5p4,llama,4,4,128,32.0,ck4,4,identity,identity,16,0.0003,48.23,41.47,"(89.7, 6.76)",2
N16-K2V2-V62_1M,rmmv5p4,llama,4,4,128,32.0,ck4,4,identity,identity,16,0.001,2.14,1.8,"(0.34, 3.94)",2
N16-K2V2-V62_1M,rmmv5p4,llama,4,4,128,32.0,ck4,4,unpool,pool,1,0.0001,5.41,0.33,"(5.08, 5.74)",2
N16-K2V2-V62_1M,rmmv5p4,llama,4,4,128,32.0,ck4,4,unpool,pool,1,0.0003,1.83,1.75,"(3.58, 0.08)",2
N16-K2V2-V62_1M,rmmv5p4,llama,4,4,128,32.0,ck4,4,unpool,pool,1,0.001,0.02,0.02,"(0.0, 0.04)",2
N16-K2V2-V62_1M,rmmv5p4,llama,4,4,128,32.0,ck4,8,unpool,pool,1,0.0001,9.23,7.63,"(16.86, 1.6)",2
N16-K2V2-V62_1M,rmmv5p4,llama,4,4,128,32.0,ck4,8,unpool,pool,1,0.0003,0.24,0.0,"(0.24,)",1
N16-K2V2-V62_1M,rmmv5p4,llama,4,4,128,32.0,ck4,8,unpool,pool,1,0.001,0.01,0.01,"(0.0, 0.02)",2
N16-K2V2-V62_1M,rmmv5p4,llama,4,4,128,32.0,ck4,16,unpool,pool,2,0.0001,3.65,0.63,"(4.28, 3.02)",2
N16-K2V2-V62_1M,rmmv5p4,llama,4,4,128,32.0,ck4,16,unpool,pool,2,0.0003,5.54,0.26,"(5.8, 5.28)",2
N16-K2V2-V62_1M,rmmv5p4,llama,4,4,128,32.0,ck4,16,unpool,pool,4,0.0001,4.49,0.03,"(4.52, 4.46)",2
N16-K2V2-V62_1M,rmmv5p4,llama,4,4,128,32.0,ck4,16,unpool,pool,4,0.0003,4.83,0.07,"(4.76, 4.9)",2
N16-K2V2-V62_1M,rmmv5p4,llama,4,4,128,32.0,ck4,32,unpool,pool,1,0.0001,8.5,4.4,"(4.1, 12.9)",2
N16-K2V2-V62_1M,rmmv5p4,llama,4,4,128,32.0,ck4,32,unpool,pool,1,0.0003,3.11,3.03,"(0.08, 6.14)",2
N16-K2V2-V62_1M,rmmv5p4,llama,4,4,128,32.0,ck4,32,unpool,pool,2,0.0001,30.86,25.76,"(5.1, 56.62)",2
N16-K2V2-V62_1M,rmmv5p4,llama,4,4,128,32.0,ck4,32,unpool,pool,2,0.0003,5.76,1.32,"(4.44, 7.08)",2
N16-K2V2-V62_1M,rmmv5p4,llama,4,4,128,32.0,ck4,32,unpool,pool,4,0.0001,3.36,1.3,"(4.66, 2.06)",2
N16-K2V2-V62_1M,rmmv5p4,llama,4,4,128,32.0,ck4,32,unpool,pool,4,0.0003,3.2,1.7,"(1.5, 4.9)",2
N16-K2V2-V62_1M,rmmv5p4,llama,4,4,128,32.0,ck4,64,unpool,pool,1,0.0001,2.78,2.34,"(0.44, 5.12)",2
